BOR003;02;BORDAR              ;1FU1641800001  ;4908
FUR001;03;FURAR               ;1FU1641800001  ;4909
COR001;01;CORTAR              ;1FU1730300002  ;4910
COR001;01;CORTAR              ;1FU1730300004  ;4911
COR001;01;CORTAR              ;1FU1730300005  ;4912
COR001;01;CORTAR              ;1FU1831800002  ;4913
BOR003;02;BORDAR              ;1FU1831800002  ;4914
FUR001;03;FURAR               ;1FU1831800002  ;4915
COR001;01;CORTAR              ;1FU1831800002  ;4916
BOR003;02;BORDAR              ;1FU1831800002  ;4917
FUR001;03;FURAR               ;1FU1831800002  ;4918
COR001;01;CORTAR              ;1FU1880300005  ;4919
COR001;01;CORTAR              ;1FU1901800001  ;4920
BOR003;02;BORDAR              ;1FU1901800001  ;4921
FUR001;03;FURAR               ;1FU1901800001  ;4922
COR001;01;CORTAR              ;1FU2001800001  ;4923
BOR003;02;BORDAR              ;1FU2001800001  ;4924
FUR001;03;FURAR               ;1FU2001800001  ;4925
COR001;01;CORTAR              ;1FU2001800004  ;4926
BOR003;02;BORDAR              ;1FU2001800004  ;4927
FUR001;03;FURAR               ;1FU2001800004  ;4928
COR001;01;CORTAR              ;1FU2001800011  ;4929
BOR003;02;BORDAR              ;1FU2001800011  ;4930
FUR001;03;FURAR               ;1FU2001800011  ;4931
COR001;01;CORTAR              ;1FU2001800040  ;4932
BOR003;02;BORDAR              ;1FU2001800040  ;4933
FUR001;03;FURAR               ;1FU2001800040  ;4934
COR001;01;CORTAR              ;1FU2001800042  ;4935
BOR003;02;BORDAR              ;1FU2001800042  ;4936
FUR001;03;FURAR               ;1FU2001800042  ;4937
COR001;01;CORTAR              ;1FU2001800111  ;4938
BOR003;02;BORDAR              ;1FU2001800111  ;4939
FUR001;03;FURAR               ;1FU2001800111  ;4940
COR001;01;CORTAR              ;1FU2001801001  ;4941
BOR003;02;BORDAR              ;1FU2001801001  ;4942
FUR001;03;FURAR               ;1FU2001801001  ;4943
COR001;01;CORTAR              ;1FU2001801004  ;4944
BOR003;02;BORDAR              ;1FU2001801004  ;4945
FUR001;03;FURAR               ;1FU2001801004  ;4946
COR001;01;CORTAR              ;1FU2001801011  ;4947
BOR003;02;BORDAR              ;1FU2001801011  ;4948
FUR001;03;FURAR               ;1FU2001801011  ;4949
COR001;01;CORTAR              ;1FU2001801040  ;4950
BOR003;02;BORDAR              ;1FU2001801040  ;4951
FUR001;03;FURAR               ;1FU2001801040  ;4952
COR001;01;CORTAR              ;1FU2001801042  ;4953
BOR003;02;BORDAR              ;1FU2001801042  ;4954
FUR001;03;FURAR               ;1FU2001801042  ;4955
COR001;01;CORTAR              ;1FU2001801111  ;4956
BOR003;02;BORDAR              ;1FU2001801111  ;4957
FUR001;03;FURAR               ;1FU2001801111  ;4958
COR001;01;CORTAR              ;1FU2001802001  ;4959
BOR003;02;BORDAR              ;1FU2001802001  ;4960
FUR001;03;FURAR               ;1FU2001802001  ;4961
COR001;01;CORTAR              ;1FU2001802002  ;4962
BOR003;02;BORDAR              ;1FU2001802002  ;4963
FUR001;03;FURAR               ;1FU2001802002  ;4964
COR001;01;CORTAR              ;1FU2001802007  ;4965
BOR003;02;BORDAR              ;1FU2001802007  ;4966
FUR001;03;FURAR               ;1FU2001802007  ;4967
COR001;01;CORTAR              ;1FU2001802008  ;4968
BOR003;02;BORDAR              ;1FU2001802008  ;4969
FUR001;03;FURAR               ;1FU2001802008  ;4970
COR001;01;CORTAR              ;1FU2001802040  ;4971
BOR003;02;BORDAR              ;1FU2001802040  ;4972
FUR001;03;FURAR               ;1FU2001802040  ;4973
COR001;01;CORTAR              ;1FU2001802042  ;4974
BOR003;02;BORDAR              ;1FU2001802042  ;4975
FUR001;03;FURAR               ;1FU2001802042  ;4976
COR001;01;CORTAR              ;1FU2001802111  ;4977
BOR003;02;BORDAR              ;1FU2001802111  ;4978
FUR001;03;FURAR               ;1FU2001802111  ;4979
COR001;01;CORTAR              ;1FU2001803001  ;4980
BOR003;02;BORDAR              ;1FU2001803001  ;4981
FUR001;03;FURAR               ;1FU2001803001  ;4982
COR001;01;CORTAR              ;1FU2001803004  ;4983
BOR003;02;BORDAR              ;1FU2001803004  ;4984
FUR001;03;FURAR               ;1FU2001803004  ;4985
COR001;01;CORTAR              ;1FU2001803005  ;4986
BOR003;02;BORDAR              ;1FU2001803005  ;4987
FUR001;03;FURAR               ;1FU2001803005  ;4988
COR001;01;CORTAR              ;1FU2001803040  ;4989
BOR003;02;BORDAR              ;1FU2001803040  ;4990
FUR001;03;FURAR               ;1FU2001803040  ;4991
COR001;01;CORTAR              ;1FU2001803042  ;4992
BOR003;02;BORDAR              ;1FU2001803042  ;4993
FUR001;03;FURAR               ;1FU2001803042  ;4994
COR001;01;CORTAR              ;1FU2001803042  ;4995
BOR003;02;BORDAR              ;1FU2001803042  ;4996
FUR001;03;FURAR               ;1FU2001803042  ;4997
COR001;01;CORTAR              ;1FU2001803111  ;4998
BOR003;02;BORDAR              ;1FU2001803111  ;4999
FUR001;03;FURAR               ;1FU2001803111  ;5000
COR001;01;CORTAR              ;1FU2001804002  ;5001
BOR003;02;BORDAR              ;1FU2001804002  ;5002
FUR001;03;FURAR               ;1FU2001804002  ;5003
COR001;01;CORTAR              ;1FU2001804004  ;5004
BOR003;02;BORDAR              ;1FU2001804004  ;5005
FUR001;03;FURAR               ;1FU2001804004  ;5006
COR001;01;CORTAR              ;1FU2001804005  ;5007
BOR003;02;BORDAR              ;1FU2001804005  ;5008
FUR001;03;FURAR               ;1FU2001804005  ;5009
COR001;01;CORTAR              ;1FU2001805002  ;5010
BOR003;02;BORDAR              ;1FU2001805002  ;5011
FUR001;03;FURAR               ;1FU2001805002  ;5012
COR001;01;CORTAR              ;1FU2001805004  ;5013
BOR003;02;BORDAR              ;1FU2001805004  ;5014
FUR001;03;FURAR               ;1FU2001805004  ;5015
COR001;01;CORTAR              ;1FU2001805005  ;5016
BOR003;02;BORDAR              ;1FU2001805005  ;5017
FUR001;03;FURAR               ;1FU2001805005  ;5018
COR001;01;CORTAR              ;1FU2151000001  ;5019
COR001;01;CORTAR              ;1FU2151001001  ;5020
COR001;01;CORTAR              ;1FU2231800111  ;5021
BOR003;02;BORDAR              ;1FU2231800111  ;5022
FUR001;03;FURAR               ;1FU2231800111  ;5023
COR001;01;CORTAR              ;1FU2231800A03  ;5024
BOR003;02;BORDAR              ;1FU2231800A03  ;5025
FUR001;03;FURAR               ;1FU2231800A03  ;5026
COR001;01;CORTAR              ;1FU2231800A20  ;5027
BOR003;02;BORDAR              ;1FU2231800A20  ;5028
FUR001;03;FURAR               ;1FU2231800A20  ;5029
COR001;01;CORTAR              ;1FU2231800A40  ;5030
BOR003;02;BORDAR              ;1FU2231800A40  ;5031
FUR001;03;FURAR               ;1FU2231800A40  ;5032
COR001;01;CORTAR              ;1FU2231800A42  ;5033
BOR003;02;BORDAR              ;1FU2231800A42  ;5034
FUR001;03;FURAR               ;1FU2231800A42  ;5035
COR001;01;CORTAR              ;1FU2231800A50  ;5036
BOR003;02;BORDAR              ;1FU2231800A50  ;5037
FUR001;03;FURAR               ;1FU2231800A50  ;5038
COR001;01;CORTAR              ;1FU2241000A03  ;5039
COR001;01;CORTAR              ;1FU2241000A20  ;5040
COR001;01;CORTAR              ;1FU2241000A50  ;5041
COR001;01;CORTAR              ;1FU2241002002  ;5042
COR001;01;CORTAR              ;1FU2241002004  ;5043
COR001;01;CORTAR              ;1FU2241002005  ;5044
COR001;01;CORTAR              ;1FU2241003002  ;5045
COR001;01;CORTAR              ;1FU2241003004  ;5046
COR001;01;CORTAR              ;1FU2241003005  ;5047
COR001;01;CORTAR              ;1FU2241003040  ;5048
COR001;01;CORTAR              ;1FU2241003042  ;5049
COR001;01;CORTAR              ;1FU2241004002  ;5050
COR001;01;CORTAR              ;1FU2241004004  ;5051
COR001;01;CORTAR              ;1FU2241004005  ;5052
COR001;01;CORTAR              ;1FU2241004040  ;5053
COR001;01;CORTAR              ;1FU2241004042  ;5054
COR001;01;CORTAR              ;1FU2241005002  ;5055
COR001;01;CORTAR              ;1FU2241005004  ;5056
COR001;01;CORTAR              ;1FU2241005005  ;5057
COR001;01;CORTAR              ;1FU2241005040  ;5058
COR001;01;CORTAR              ;1FU2241005042  ;5059
COR001;01;CORTAR              ;1FU2241006002  ;5060
COR001;01;CORTAR              ;1FU2241006004  ;5061
COR001;01;CORTAR              ;1FU2241006005  ;5062
COR001;01;CORTAR              ;1FU2241006040  ;5063
COR001;01;CORTAR              ;1FU2241006042  ;5064
COR001;01;CORTAR              ;1FU2241007002  ;5065
COR001;01;CORTAR              ;1FU2241007004  ;5066
COR001;01;CORTAR              ;1FU2241007005  ;5067
COR001;01;CORTAR              ;1FU2241007040  ;5068
COR001;01;CORTAR              ;1FU2241007042  ;5069
COR001;01;CORTAR              ;1FU2241008002  ;5070
COR001;01;CORTAR              ;1FU2241008004  ;5071
COR001;01;CORTAR              ;1FU2241008005  ;5072
COR001;01;CORTAR              ;1FU2241008040  ;5073
COR001;01;CORTAR              ;1FU2241008042  ;5074
COR001;01;CORTAR              ;1FU2241009002  ;5075
COR001;01;CORTAR              ;1FU2241009005  ;5076
COR001;01;CORTAR              ;1FU2241009040  ;5077
COR001;01;CORTAR              ;1FU2241009042  ;5078
COR001;01;CORTAR              ;1FU2270300005  ;5079
COR001;01;CORTAR              ;1FU2270301005  ;5080
COR001;01;CORTAR              ;1FU2271000002  ;5081
COR001;01;CORTAR              ;1FU2271000004  ;5082
COR001;01;CORTAR              ;1FU2271000005  ;5083
COR001;01;CORTAR              ;1FU2271000040  ;5084
COR001;01;CORTAR              ;1FU2271000042  ;5085
COR001;01;CORTAR              ;1FU2271001002  ;5086
COR001;01;CORTAR              ;1FU2271001004  ;5087
COR001;01;CORTAR              ;1FU2271001005  ;5088
COR001;01;CORTAR              ;1FU2271002002  ;5089
COR001;01;CORTAR              ;1FU2271002004  ;5090
COR001;01;CORTAR              ;1FU2271002005  ;5091
COR001;01;CORTAR              ;1FU2271002040  ;5092
COR001;01;CORTAR              ;1FU2271002042  ;5093
COR001;01;CORTAR              ;1FU2271003002  ;5094
COR001;01;CORTAR              ;1FU2271003004  ;5095
COR001;01;CORTAR              ;1FU2271003005  ;5096
COR001;01;CORTAR              ;1FU2271003040  ;5097
COR001;01;CORTAR              ;1FU2271003042  ;5098
COR001;01;CORTAR              ;1FU2271004002  ;5099
COR001;01;CORTAR              ;1FU2271004004  ;5100
COR001;01;CORTAR              ;1FU2271004005  ;5101
COR001;01;CORTAR              ;1FU2271005002  ;5102
COR001;01;CORTAR              ;1FU2271005004  ;5103
COR001;01;CORTAR              ;1FU2271005005  ;5104
COR001;01;CORTAR              ;1FU3321001002  ;5105
COR001;01;CORTAR              ;1FU3321001004  ;5106
COR001;01;CORTAR              ;1FU3321001005  ;5107
COR001;01;CORTAR              ;1FU3321001040  ;5108
COR001;01;CORTAR              ;1FU3321001042  ;5109
COR001;01;CORTAR              ;1FU3341000A03  ;5110
COR001;01;CORTAR              ;1FU3341000A20  ;5111
COR001;01;CORTAR              ;1FU3341000A50  ;5112
COR001;01;CORTAR              ;1FU3341001A03  ;5113
COR001;01;CORTAR              ;1FU3341001A20  ;5114
COR001;01;CORTAR              ;1FU3341002A03  ;5115
COR001;01;CORTAR              ;1FU3341002A20  ;5116
COR001;01;CORTAR              ;1FU3701000A03  ;5117
COR001;01;CORTAR              ;1FU3701000A20  ;5118
COR001;01;CORTAR              ;1FU3921800001  ;5119
COR001;01;CORTAR              ;1FU4070300001  ;5120
COR001;01;CORTAR              ;1FU4070300A03  ;5121
COR001;01;CORTAR              ;1FU4070300A20  ;5122
COR001;01;CORTAR              ;1FU4241800001  ;5123
BOR003;02;BORDAR              ;1FU4241800001  ;5124
FUR001;03;FURAR               ;1FU4241800001  ;5125
COR001;01;CORTAR              ;1FU4241800004  ;5126
BOR003;02;BORDAR              ;1FU4241800004  ;5127
FUR001;03;FURAR               ;1FU4241800004  ;5128
COR001;01;CORTAR              ;1FU4241800005  ;5129
BOR003;02;BORDAR              ;1FU4241800005  ;5130
FUR001;03;FURAR               ;1FU4241800005  ;5131
COR001;01;CORTAR              ;1FU4300300005  ;5132
COR001;01;CORTAR              ;1FU4300301005  ;5133
COR001;01;CORTAR              ;1FU4300302005  ;5134
COR001;01;CORTAR              ;1FU4300303005  ;5135
COR001;01;CORTAR              ;1FU4300304005  ;5136
COR001;01;CORTAR              ;1FU4300305005  ;5137
COR001;01;CORTAR              ;1FU4390300A20  ;5138
COR001;01;CORTAR              ;1FU4420301001  ;5139
COR001;01;CORTAR              ;1FU4420301004  ;5140
COR001;01;CORTAR              ;1FU4420301005  ;5141
COR001;01;CORTAR              ;1FU4421000001  ;5142
COR001;01;CORTAR              ;1FU4421000004  ;5143
COR001;01;CORTAR              ;1FU4421000005  ;5144
COR001;01;CORTAR              ;1FU4501800002  ;5145
BOR003;02;BORDAR              ;1FU4501800002  ;5146
FUR001;03;FURAR               ;1FU4501800002  ;5147
COR001;01;CORTAR              ;1FU4561000001  ;5148
COR001;01;CORTAR              ;1FU4561000003  ;5149
COR001;01;CORTAR              ;1FU4621800002  ;5150
COR001;01;CORTAR              ;1FU4621800003  ;5151
COR001;01;CORTAR              ;1FU4621800006  ;5152
COR001;01;CORTAR              ;1FU4911000002  ;5153
COR001;01;CORTAR              ;1FU4911000004  ;5154
COR001;01;CORTAR              ;1FU4911000005  ;5155
COR001;01;CORTAR              ;1FU4911000040  ;5156
COR001;01;CORTAR              ;1FU4911000042  ;5157
COR001;01;CORTAR              ;1FU4921000A03  ;5158
COR001;01;CORTAR              ;1FU4951000002  ;5159
COR001;01;CORTAR              ;1FU4951000004  ;5160
COR001;01;CORTAR              ;1FU4951000005  ;5161
COR001;01;CORTAR              ;1FU4951000040  ;5162
COR001;01;CORTAR              ;1FU4951000042  ;5163
COR001;01;CORTAR              ;1FU5001000001  ;5164
COR001;01;CORTAR              ;1FU5001000002  ;5165
COR001;01;CORTAR              ;1FU5541000001  ;5166
COR001;01;CORTAR              ;1FU5541000002  ;5167
COR001;01;CORTAR              ;1FU5790300005  ;5168
COR001;01;CORTAR              ;1FU5790301005  ;5169
COR001;01;CORTAR              ;1FU5800300005  ;5170
COR001;01;CORTAR              ;1FU6031000A03  ;5171
COR001;01;CORTAR              ;1FU6031000A20  ;5172
COR001;01;CORTAR              ;1FU6031000A50  ;5173
COR001;01;CORTAR              ;1FU6031001A03  ;5174
COR001;01;CORTAR              ;1FU6031001A20  ;5175
COR001;01;CORTAR              ;1FU6031001A40  ;5176
COR001;01;CORTAR              ;1FU6031001A42  ;5177
COR001;01;CORTAR              ;1FU6031001A50  ;5178
COR001;01;CORTAR              ;1FU6051000A20  ;5179
COR001;01;CORTAR              ;1FU6511000001  ;5180
COR001;01;CORTAR              ;1FU6511001001  ;5181
COR001;01;CORTAR              ;1FU6541000A03  ;5182
