COR001;CORTE - GIBEN                 ;2
COR002;CORTE - CASADEI 45            ;3
COR003;CORTE - CASADEI 15            ;4
BOR001;BORDA - MONO LATERAL          ;5
BOR002;BORDA - ERGO-SOFT             ;6
BOR003;BORDA - ESQUADRA BORDA        ;7
FUR001;FURADEIRA MULTIPLA            ;8
FMD001;EXCLUIR- CNC                  ;12
EMB001;EMBALAGEM / MONTAGEM          ;13
MFA001;MINI FABRICA                  ;22
PF001 ;PREPARACAO DE FERRAGENS       ;25
FUR002;CNC                           ;23
FUR003;FURADEIRA LIDEAR              ;26
