OPIS! AGENCIA DE PUBLICIDADE LTDA       ;10375246000100;;AL EMILIO POVOA N 343                   ;                    ;MG;UBERLANDIA     ;        ;   ;                                                  ;                                                  
EAN BRASIL - ASS. BRASILEIRA AUT. COM.  ;53197141000102;;AL.SANTOS, 2441 - 9º ANDAR              ;                    ;SP;SAO PAULO      ;        ;34 ;30686200                                          ;                                                  
WIRELESS NETWORKS DO BRASIL LTDA        ;03358131000133;;ALAMEDA ARAGUAIA, 933- ANDAR 05- SALA 51;                    ;SP;BARUERI        ;06455000;011;4502-4500                                         ;                                                  
CARLOS SARAIVA IMPORTACAO E COMERCIO LTD;25760877007548;;ATENAS 1122                             ;                    ;MG;UBERLANDIA     ;38405066;   ;32140065                                          ;                                                  
TRANSMAGNA TRANSPORTES LTDA-UBR         ;79942140002182;7013692970090     ;AV D MARIA DE SANTANA BORGES,   SN      ;                    ;MG;UBERABA        ;        ;   ;                                                  ;                                                  
BR ALUMINIO LTDA                        ;02627252000170;115231139111      ;AV DEPUTADO EMILIO CARLOS, 2519         ;                    ;SP;SAO PAULO      ;02721200;011;39610211                                          ;sp@spaluminio.com.br                              
TIM CELULAR S/A                         ;04206050005301;103486917         ;AV JAMEL CECILIO 3300                   ;                    ;GO;GOIANIA        ;        ;   ;                                                  ;                                                  
PRICE WATER HOUSE COOPERS               ;61562112000805;;AV JOSE DE SOUZA CAMPOS ,  243          ;                    ;SP;CAMPINAS       ;13025320;19 ;37945400                                          ;                                                  
EXPRESSO MERCURIO S/A                   ;95591723004106;251783090         ;AV MARIO URIARTE, 1511 G6-7             ;                    ;SC;ITAJAI         ;88310696;047;21045000                                          ;                                                  
ED ABRIL S.A                            ;02183757000193;;AV OTAVIANO ALVE DE LIMA 04400          ;                    ;SP;SAO PAULO      ;        ;   ;                                                  ;                                                  
SOFTWARE EXPRESS INFORMATICA LTDA       ;55649404000100;;AV PAULISTA 02202                       ;                    ;MG;UBERLANDIA     ;        ;   ;                                                  ;                                                  
CENOFISCO CENTRO DE CAPACITACAO PROFISSI;07799454000202;;AV PAULISTA 1337 CJ 242                 ;                    ;SP;SAO PAULO      ;        ;   ;                                                  ;                                                  
PAASSAREDO TRANSPORTES AEREOS LTDA AEROP;00512777000135;;AV THOMAZ ALBERTO WHATELY S/N           ;                    ;SP;RIBEIRAO PRETO ;        ;   ;                                                  ;                                                  
A.C.F AFONSO PENA LTDA                  ;41695230000108;;AV. AFONSO PENA, 1836                   ;                    ;MG;UBERLANDIA     ;        ;   ;                                                  ;                                                  
ALUMICHAPAS COMERCIO DE METAIS LTDA     ;02324527000105;7027281210060     ;AV. AFONSO PENA, N° 3268                ;                    ;MG;UBERLANDIA     ;32120080;34 ;                                                  ;                                                  
FSN - FIEIRAS E SINT. NAC. LTDA         ;60864667000164;353012600112      ;AV. ALMIRANTE TAMANDARE, N° 697         ;                    ;SP;INDAIATUBA     ;38756933;   ;                                                  ;                                                  
VIACäO SäO LUIZ LTDA                    ;01016179000723;749002021119      ;AV. ATLANTICA, N°1901-MODULO 16         ;                    ;SP;ILHA SOLTEIRA  ;7623205 ;34 ;32143741                                          ;saoluiz@triang.com.br                             
CEMIG DISTRIBUICAO S.A.                 ;06981180000116;0623221360087     ;AV. BARBACENA 1200 - 17 ANDAR ALA A1    ;                    ;MG;BELO HORIZONTE ;30190131;31 ;80031019                                          ;                                                  
CIA ENERGETICA DE MINAS GERAIS          ;17155730000164;0620021600057     ;AV. BARBACENA, 1200                     ;                    ;MG;BELO HORIZONTE ;30190131;31 ;                                                  ;atendimento@cemig.com.br                          
EXPRESS BOX IND COM DE EMBALAGENS LTDA  ;00940546000122;451030940113      ;AV. CANDIDO BRASIL ESTRELA, N° 19       ;                    ;SP;MIRASSOL       ;2423606 ;017;32539797                                          ;ebox@expressbox.com.br                            
TRANSPORTADORA ITAPEMIRIM S/A           ;33271511014076;1866096530071     ;AV. COMENDADOR ALEXANDRINO GARCIA, 200  ;                    ;MG;UBERLANDIA     ;32111884;34 ;21011884                                          ;                                                  
TRANSMAGNA TRANSPORTES LTDA             ;79942140002263;669542777112      ;AV. COMENDADOR CAMILLO JULIO, 2655 G.9  ;                    ;SP;SOROCABA       ;        ;   ;                                                  ;                                                  
NEOPENSO TECNOLOGIA LTDA                ;01296044000173;7029839020090     ;AV. DOS MUNICIPIOS, 146                 ;                    ;MG;UBERLANDIA     ;38400254;34 ;21029007                                          ;rogeriot@sigatriangulo.com.br                     
BOBINEX IND. E COMERCIO DE PAPEIS LTDA  ;60936085000146;298015936113      ;AV. ELIAS YAZBEK, N° 3174               ;                    ;SP;EMBU           ;06801100;11 ;47043500                                          ;bobinex@bobinex.com.br                            
MOVEIS MIGUEL IND. COM. LTDA            ;23178049000134;7025614760041     ;AV. EUCALIPTOS, N° 528                  ;                    ;MG;UBERLANDIA     ;38414123;34 ;32170114                                          ;libia@netsite.com.br                              
YASKAWA ELETRICO DO BRASIL LTDA         ;42354407000167;110093518115      ;AV. FAGUNDES FILHO, N° 620              ;                    ;SP;SAO PAULO      ;50712552;11 ;55818795                                          ;yaskama@yaskama.com.br                            
ISOLAR DIST. PROD. TERMICOS LTDA        ;03167027000161;7020226680097     ;AV. INDAIA, N° 1155                     ;                    ;MG;UBERLANDIA     ;38413111;34 ;32572326                                          ;gilsongoncalves@terra.com.br                      
GATI COMERCIO E REPRES. LTDA            ;89823314000106;;AV. ITALIA, 168                         ;                    ;RS;CAXIAS DO SUL  ;95010040;   ;                                                  ;gatt@zaz.com.br                                   
ARTS COMERCIO E SERVICOS LTDA           ;03904872000172;7020854450069     ;AV. JOAO NAVES DE AVILA, N° 1331        ;                    ;MG;UBERLANDIA     ;32559500;34 ;                                                  ;                                                  
WHITE MARTINS GASES INDUSTRIAIS LTDA    ;35820448003909;7026164490970     ;AV. JOSE ALVES GASSANI, N° 1898         ;                    ;MG;UBERLANDIA     ;        ;   ;32167010                                          ;ana_rezende@praxair.com                           
RAPIDO RODOSINO TRANSPORTE DE CARGAS LTD;91685024001744;;AV. JOSE ANDRAUS GASSANI, 634           ;                    ;MG;UBERLANDIA     ;        ;34 ;32383034                                          ;                                                  
PEPPE E SILVEIRA SERVICOS LTDA          ;04807613000196;;AV. LIBERDADE 243, 201                  ;                    ;MG;UBERLANDIA     ;        ;034;32283332                                          ;terraconsult@triang.com.br                        
CAIXETA COM. DE VIDROS LTDA             ;07699290000152;;AV. MARANHAO, 596 - LOJ. 01 E 02        ;                    ;MG;UBERLANDIA     ;        ;   ;                                                  ;                                                  
JACAREZINHO IND. COM. LTDA              ;17796020000113;7021142400060     ;AV. MARCOS DE FREITAS COSTA, N° 530     ;                    ;MG;UBERLANDIA     ;38400328;34 ;32365000                                          ;                                                  
ARTIC INFORMATICA                       ;01056632000130;;AV. MARCUS DE FREITAS COSTA, 1412       ;                    ;MG;UBERLANDIA     ;38400000;34 ;32369804                                          ;getulio@artic.com.br                              
DIMAS MELO PIM.SIST. PTO LTDA           ;61099008000141;105903231114      ;AV. MOFARREJ, N° 840/908                ;                    ;SP;SAO PAULO      ;36464134;   ;                                                  ;                                                  
ARMANDO BRIGOLIN & CIA LTDA             ;52958055000102;582249908112      ;AV. MOGIANA, N° 776                     ;                    ;SP;RIBEIRäO PRETO ;39693883;   ;                                                  ;                                                  
KWIKASAIR CARGAS EXPRESSAS S/A          ;92673029002015;7026100470200     ;AV. MORUM BERNARDINO, N° 1              ;                    ;MG;UBERLANDIA     ;        ;34 ;32361888                                          ;                                                  
COREPLAST EMBALAGENS LTDA               ;45140340000156;401044812115      ;AV. NETINHO PRADO, 595                  ;                    ;SP;JAU            ;17208270;014;36262100                                          ;coreplast@coreplast.com.br                        
SUL AMERICA SEGURO SAUDE S.A            ;01685053000156;;AV. NICOMEDES ALVES DOS SANTOS, 287     ;                    ;MG;UBERLANDIA     ;        ;34 ;32565000                                          ;                                                  
SUL AMERICA SEGURO VIDA PREVIDENCIA SA  ;01704513000146;;AV. NICOMEDES ALVES DOS SANTOS, 287     ;                    ;MG;UBERLANDIA     ;        ;34 ;32565500                                          ;gvieira@grupo.sulamerica.com.b                    
THE VIAGENS E TURISMO LTDA              ;06150299000147;;AV. NICOMEDES ALVES DOS SANTOS, 348     ;                    ;MG;UBERLANDIA     ;38400170;34 ;32550800                                          ;                                                  
MADEPAR LAMINADOS S.A                   ;67302943000220;31047320          ;AV. PERIFERICA I, 6092                  ;                    ;BA;SIMOES FILHO   ;43700000;071;5949088                                           ;                                                  
RODONAVES TRANSPORTES E ENCOMENDAS LTDA ;44914992002777;096/3049968       ;AV. PLINIO KROEFF, 1290 - SALA 23       ;                    ;RS;PORTO ALEGRE   ;91150170;   ;                                                  ;                                                  
MOVIMINAS COM E REPRESENTACÖES LTDA     ;01677284000118;7023379370089     ;AV. PROF. MINERVINA C. OLIVEIRA, N° 5826;                    ;MG;UBERLANDIA     ;38405326;34 ;32321410                                          ;moviminas@triang.com.br                           
MAXITEL S/A                             ;01009686000144;0627953180188     ;AV. RAJA GABAGLIA, N° 1781              ;                    ;MG;BELO HORIZONTE ;        ;   ;                                                  ;                                                  
MULTIVALVULAS ACESS. IND. LTDA          ;07040507000118;7022849890023     ;AV. RAULINO COTTA PACHECO, 1589         ;                    ;MG;UBERLANDIA     ;        ;   ;                                                  ;                                                  
ULTRA TELECOM LTDA                      ;05787723000104;7022466840066     ;AV. RONDON PACHECO, N° 2289-1°ANDAR/S3  ;                    ;MG;UBERLANDIA     ;38400050;034;32368411                                          ;sheila@ultraltda.com.br                           
TRANSPORTE JOLEE LTDA                   ;92807635000628;0290296587        ;AV. RUBEM BENTO ALVES, 2372             ;                    ;RS;CAXIAS DO SUL  ;2244283 ;   ;                                                  ;                                                  
WEBER COMERCIO E REPRESENTACöES LTDA    ;66484437000156;0628648120089     ;AV. SILVIANO BRANDäO, N° 786            ;                    ;MG;BELO HORIZONTE ;34614222;31 ;34817925                                          ;
INGRAM MICRO BRASIL LTDA                ;01771935000215;206074912112      ;AV. TAMBORE, N° 1180                    ;                    ;SP;BARUERI        ;36775800;   ;                                                  ;                                                  
CAR RENTAL SYSTEMS DO BRASIL LOC VEICULO;00237003003592;;AV. VINTE DE JANEIRO  , S/N             ;                    ;RJ;RIO DE JANEIRO ;21941570;   ;                                                  ;                                                  
MAIA MAQUINAS E EQUIPAMENTOS LTDA       ;72870660000134;181101824113      ;AV. XV DE NOVEMBRO, N° 843              ;                    ;SP;ARARAQUARA     ;2323130 ;16 ;2222959                                           ;                                                  
TELEMAR NORTE LESTE S/A                 ;33000118000330;0621499640047     ;AV.AFONSO PENA, 4001                    ;                    ;MG;BELO HORIZONTE ;30130008;   ;                                                  ;                                                  
HEMISFERIO REPRESENTACOES LTDA          ;61817656000196;;AV.BARAO DO RIO BRANCO, 1071 SALA 915   ;                    ;CE;FORTALEZA      ;60025061;085;32261086                                          ;                                                  
VCV REPRESENTACOES DE MOVEIS E DEC.LTDA ;06199580000174;;AV.DA LUZ, 435 BL.A 10 APTO.33          ;                    ;SP;SAO JOSE DO RIO;15015700;017;81222021                                          ;                                                  
CRUZ BICUDO COMERCIAL LTDA - ME         ;57685257000141;111.808.264.118   ;AV.DO RIO PEQUENO 1.368/1.370           ;                    ;SP;SAO PAULO      ;05379000;011;37680931                                          ;                                                  
EXPRESSO MERCURIO S.A.                  ;95591723008527;669293216112      ;AV.INDEPENDENCIA,2300                   ;                    ;SP;SOROCABA       ;18103000;015;40095300                                          ;                                                  
VIPEX TRANSPORTES LTDA                  ;04188086000260;336678213110      ;AV.IRDI, 162                            ;                    ;SP;GUARULHOS      ;07232100;011;64121180                                          ;                                                  
REAL ENCOMENDAS E CARGAS LTDA           ;21773395004122;121797465         ;AV.JAIME TAVARES, 481 D                 ;                    ;MA;SAO LUIS       ;65010650;98 ;32213241                                          ;                                                  
BEZERRA LOGISTICA LTDA                  ;01871849000446;336449775110      ;AV.LAURO DE GUSMAO SILVEIRA, 365        ;                    ;SP;GUARULHOS      ;07140010;11 ;64053005                                          ;                                                  
ARAUJO & ALMEIDA LTDA                   ;07889039000150;9040272191        ;AV.MARACANA, 2479                       ;                    ;PR;ARAPONGAS      ;86705280;43 ;30554588                                          ;                                                  
EXPRESSO MERCURIO S.A                   ;95591723003800;108254280116      ;AV.MARGINAL DIREITA DO TIETE, 2500      ;                    ;SP;SAO PAULO      ;05118100;11 ;36223100                                          ;                                                  
NUCLEO DE INFOR.E COORDENACDO PONTO BR  ;05506560000136;;AV.NACOES UNIDAS 11541                  ;                    ;SP;SAO PAULO      ;04578000;   ;                                                  ;                                                  
TIM CELULAR S/A                         ;04206050007940;;AV.RAJA GABAGLIA, 1781                  ;                    ;MG;BELO HORIZONTE ;30380090;   ;                                                  ;                                                  
TAO REPRESENTACOES LTDA                 ;04166743000197;;AV.ROBERTO SIMOES COSTA, 1919 - APTO 302;                    ;ES;GUARAPARI      ;29200000;27 ;33626790                                          ;                                                  
VIVO S.A.                               ;02449992005638;149403935110      ;AV.ROQUE PETRONI JUNIOR, 1464           ;                    ;SP;SAO PAULO      ;04707000;   ;                                                  ;                                                  
DHL WORLDWINE EXPRESS BRASIL LTDA       ;58890252000113;109746831115      ;AV.SANTA MARINA, 1660                   ;                    ;SP;SAO PAULO      ;05036001;   ;                                                  ;                                                  
CRILLON PALACE HOTEL LTDA               ;80362627000121;;AV.SAO PAULO, 658                       ;                    ;PR;LONDRINA       ;86010060;43 ;33785000                                          ;                                                  
SETI SOLUCOES EM TI LTDA                ;14684618000122;;AVENIDA LEVINO DE SOUZA                 ;                    ;MG;UBERLANDIA     ;        ;   ;                                                  ;                                                  
CANINDE TRANSPORTES E ENCOMENDAS LTDA   ;71424519000145;0010051580004     ;AVENIDA ORLANDO BARBOSA, 1666           ;                    ;MG;PATROCINIO     ;38740000;34 ;38312323                                          ;                                                  
RAPIDO TRANSPAULO LTDA                  ;88317847003080;336890773115      ;AVENIDA PAPA JOAO PAULO I               ;                    ;SP;GUARULHOS      ;07170350;11 ;22798595                                          ;                                                  
BANCO ABN AMRO REAL S.A.                ;33066408000115;;AVENIDA PAULISTA, 1374 3º ANDAR         ;                    ;SP;SAO PAULO      ;        ;   ;                                                  ;                                                  
PROATIVA TECNOLOGIA LTDA                ;07969452000125;;AVENIDA SENADOR VERGUEIRO, 3365 CJ.23   ;                    ;SP;SAO BERNARDO DO;09601000;11 ;44255237                                          ;                                                  
CAR RENTAL SYSTEMS DO BRASIL LOC VEICULO;00237003006931;;AVENIDA VEREADOR JOSE MONTEIRO 1938     ;                    ;GO;GOIANIA        ;74650300;   ;                                                  ;                                                  
TRANSPORTADORA ITAPEMIRIM S/A           ;33271511023733;18158001671119    ;BR 101 SUL KM 81,1                      ;                    ;PE;RECIFE         ;54345000;081;476 2275                                          ;                                                  
COMERCIO E INDUSTRIA REFIATE LTDA       ;17352113000159;0620044020090     ;BR 262, KM 7 - ROD. BH/VITORIA          ;                    ;MG;BELO HORIZONTE ;34343222;31 ;34343222                                          ;refiate@refiate.com.br                            
PROCAD SOFTWARES LTDA                   ;00141463000254;;CAMPO BOM, 153 LJ 50                    ;                    ;RS;CAMPO BOM      ;93700000;54 ;32099200                                          ;                                                  
TRAMONTINA BELEM S/A                    ;14068605000129;151220670         ;DIST.INDUST. ICUARACI, SETOR C QUADRA 2 ;                    ;PA;BELEM          ;2117700 ;   ;                                                  ;                                                  
ARTVINCO IND. COM. EMB. PAP. LTDA       ;04783459000240;622069036110      ;ENT. PART. FAZENDA AMALIA, S/N          ;                    ;SP;STA ROSA DE VIT;65491000;16 ;6549127                                           ;                                                  
INSTITUTO NACIONAL DO SEGURO SOCIAL     ;29979036000140;;ESPLANADA DOS MUNICIPIOS - BLOCO F      ;                    ;DF;BRASILIA       ;70059900;   ;                                                  ;                                                  
ABB LTDA                                ;61074829002843;0678379600206     ;ESTRADA DE ACESSO ABB S/N, KM 04,   381 ;                    ;MG;BETIM          ;32501970;031;33992881                                          ;paulo.santos@br.abb.com                           
TRANSPORTES DUMAR LTDA                  ;87712055000102;0100045340        ;ESTRADA JOAQUIM TONIOLO, N° 1261        ;                    ;RS;BENTO GONCALVES;4524733 ;   ;                                                  ;                                                  
CIA THERMAS RIO QUENTE                  ;01540533000129;103057323         ;FAZENDA AGUA QUENTE, S/N                ;                    ;GO;RIO QUENTE     ;75695970;64 ;35128000                                          ;                                                  
CARLOS SARAIVA IMP E COM LTDA           ;25760877004441;7021042181374     ;FLORIANO PEIXOTO 1372                   ;                    ;MG;UBERLANDIA     ;38400698;   ;                                                  ;                                                  
CARLOS SARAIVA IMP E COM LTDA           ;25760877012460;7021042183504     ;JOAQUIM MURTINHO 386                    ;                    ;MG;PARACATU       ;38600000;   ;                                                  ;                                                  
